score,prompt,essay,comment
6,"Even though Globalization affects the world's economics in a very positive way, its negative sides should not be forgotten. Discuss. 
","Everything has sides in the world, and so has the of globalization . The effects of globalization on the world economy are . 
We must acknowledge that the negative effects are from a different kind than the positive ones. the negative sides, like low in less developed countries are important to . 
If we take the Eurozone for example, the economic changes the process are huge. Many companies have transferred their factories into cheaper production to in the world . The results are rising unemployment rates in the “old industrial countries”. 

In regard to the other countries on the world market, such as China, this job transfer is a big opportunity. But no one can that the consequences for the less developed countries where economy flourished, based on availability of cheap employees are highly important: globalization based on this facts brings problems. 
Nevertheless, there are also . In general it is remarkable that there is a new tendency in “Thinking Global”. For instance, people are willing to more languages and get educated about cultures. Countries as undeveloped, such as India, are getting chances to be the in a certain field. 
All in all it can be said that the effects of globalization are enormous. The of economic processes has changed completely. It is important to think in bigger terms, not just about the country. The positive things that this globalization process have brought us for the negative sides. The should be a world in balance, but this has yet to come. 


","This essay needs work. There are multiple spelling errors and unclear expressions (see comments underlined in blue). Also there are many words that are formed incorrectly (diverted instead of diverse, etc). There are too many paragraphs, all you need is 4 - 5 well-structured paragraphs, not 7 poorly structured ones. On the bright side, the task is covered and there are enough words (275), which is good. The paragraphs are logically connected and the linking words are used effectively. Overall, this looks like a Band 6 essay. "
6.5,"Some people think that it is important to use leisure time for activities that develop the mind, such as reading and doing crossword puzzles. Others feel that it is important to give one's mind a rest in leisure time. Discuss. 

","As we are human we naturally need to rest leisure time to stress of work and everyday life. In fact, every individual need to do what they want and . Personally, I prefer to be active during this time because . Moreover, people are free what they do their leisure time, and nobody can say what is the best. 

Some people want to relax after their day of work. These people may prefer to relax by watching movies, reading or getting a massage. People who have a such as doctors, teachers and builders may choose these types of activities. If you are a doctor, you may feel that you want to let your body rest after work and you don't want to do a five kilometer run after work, because you are already physically tired. 
On the other hand, some people choose to be active in their leisure time because they do . For example, these people many spend all day sitting on a chair and their work. At the end of a working day, they a backache, and all of their body tired so they need to stretch their arms and improve their health by doing some activity such as going to the gym or swimming. 
To sum up, the important thing is that people want to stay healthy by choosing what is best for them. In my view, the wrong way is to stay at home in your leisure time if you have a job. 
","This essay needs work. It has the right structure and covers the task. However there are many poorly structured sentences, many of the sentences are too simple and don't have enough complexity, there are grammatical errors and some prepositions are use incorrectly (see comments underlined in blue). Overall, this looks like a Band 6 - 6.5 essay. "
6.5,"Financial education should be a mandatory component of the school program. To what extent do you agree or disagree with this statement? 

","In many countries the discussion about the rising financial problems of young people has been getting more emphasis. some people are voting to integrate financial education as a . 
The key problem for many young people is that they don't know how to use and spend money in the right way. The “get what you want mentality” is widely advertised by the mass media and it looks like some people think that living is normal. Though financial problems in young life are very common with the result that . The main idea of teaching a financial subject must be to explain about a balanced budget and that debt could ruins one's future. 

this is just one side that has to be considered. For me, the main question is why the parents cannot give the right advice to their kids? To leave such a personal subject in the hands of government and school means to ignore a key task of any parent: to be a good role model. 
Moreover it should be that the social effects of talking about money and finance in a socially diverse school class can be harmful for some students. In my opinion it is more important to teach parents about their responsibilities as a role model and have them educate the children about this private topic in a safe and private environment. 
All in all I think the main task of public institutions should be to educate about common subjects and not to give such personal advice like the use of money. 
","This essay is not bad. It has the right structure - 5 paragraphs, and it covers the task. The paragraphs can be improved - make them similar in size, the 2nd paragraph is too long compared to the 3rd . The grammar and spelling need some attention and the linking words could be used more elegantly, see details in the comments underlined in blue. Overall, this looks like a Band 6.5 essay. "
6,"Learning about the past has no value for those of us living in the present. Do you agree or disagree? Use specific reasons and examples to support your answer. 
","Evaluation of the importance of timing is essential, past to show the importance of their present, while that to even remember their past because it would not help them at all. It is a very controversial and complicated matter. 
, many people believe this statement, for many reasons. Firstly, all of us had made many mistakes which we would not like to remember, they will affect their present because they can create some problems with our families example. Secondly, instead of remembering those past trials, one should get the benefits of their present. 
Regardless of what I said previously, many people are sticking to their past to give themselves a push in their present. It can give a way of learning from mistakes, and a good chance to try to avoid anything that once lead to a past failure. 

Moreover, success will not come without failure, everybody should make an attempt, even if it fails, and it may become a big success if they try it again and again. In addition, our past is our culture and heritage which we should not forget at all, it is a matter of value to our present and future, and will remain such till the day will die. 
To sum up, in my opinion, we can not live without a past, it is our value of life. it can help create your experiences and solve your problems better in the future. 


","This essay is too short - it should be at least 250 words, writing less words means getting penalized. The structure of sentences needs work and so does the grammar. Do not address the “audience”, write in general (See the comments for the last sentence of the third paragraph). Overall, this looks like a Band 6 work. See comments underlined in blue for more details. "
6,"“Some people say that the education system is the only critical factor to development of a country. To what extent do you agree or disagree with this statement?” 
","Education plays a vital role in the development of a country. Therefore, some people think that the education system is the only important factor to the development of a country and they may be right. 
Education is the foundation of developed society. It is rightly said, 'education is a ladder success'. If all the people of any country are educated then they becomes broadminded, civilized and progressive. An educated society improves the standard of life as well. 
, education also creates a good employment opportunity and therefore country does not have to suffer from big problems like unemployment. Educated peoples are more aware of such as pollution and many more. A country becomes technologically advanced because of educated people. 

Not only this, but also by giving importance to education, the nations can get rid of problems like , poverty, unemployment and population growth that delay the progress of a nation. The crime rate can also be kept under . The standard of living of the people will go up. If the nations to be progressive it is very important that the people are more educated and progressive. Any country can become more technologically advanced and developed because of education. 
However, there are other factors that also play an important role in the development of a country. Such as governments have to encouraged people to do so 
In conclusion, I would like to say that a good education system will lead to a developed country. 


","This essay needs some work. It has a good structure and the sentences show enough fluency, but the last body paragraph needs to be corrected by adding another 2-3 sentences to it. In total, the number of words here is 235 which is under the required 250, that fact may cost you some marks. Also there are some repetition of words and grammatical errors. Overall, this looks like a Band 6 essay. "
6,"People attend college or university for many different reasons (for example, new experiences, career preparation, or to increase knowledge). 
Why do you think people attend college or university? Use specific reasons and examples to support your answer. 

","Many people after their high school years for several reason which they choose . I believe that the most common reason why people to have new experiences on life , to prepare for a career, and to increase their knowledge of their personality. 
Firstly, many people to have new experience in life. Many students leave their home and move to live when they go to university. This is the first time that they had to make a resolution on their own, without their parents' help. Making their own decisions will increase their knowledge of themselves. Moreover, students university can meet different students from different nationalities and religions so students can learn about different around the world. 

Secondly, many people go to university or collage to prepare for a career. Career training is becoming more important nowadays to young people compared to old people. At college, students learn many skills for their career and they internship with a lot of chances. All of these prepare them for their career. 
Also, students attend university or college to increase their self-knowledge of their personality life. They attend increase their knowledge in subjects which they find interesting. For example, many students study science because they are in science but they work . 
To sum up, I think people should not only focus on a career when they go to university or college. They have to follow to have new experience and knowledge about their personality and the great world around them which they live in. 
","This essay needs much work. There are many grammatical errors, incorrectly used prepositions and inaccurate expressions (see comments underlined in blue). There are many repetitions of the same expressions - try to avoid that as much as possible. The task is covered, the paragraphs are connected by linking words - but the way you use them is rather primitive. Overall, this looks like a Band 6 essay. "
6.5,"Dieting can change a person's life for the better or ruins one's health completely. What is your opinion? 
","Almost of the women today want a beautiful figure. That is why we are able to find a diet programme almost everywhere in the country. Most of the women have and gone on a diet before either to or just health problem. 
A proper diet programme will help you not only to slim down but also to have a eating habits. For instance more vegetables and fruits meat, fried food and carbonated drinks. For a diet programme we shouldn't food and water. There are some diet programmes from the doctors that help you to have a heart like the “Three day diet” which we can find on the Internet. This programme allows you to eat fruits and also some meat. This way of dieting will help you to avoid some of the health problems in the future like or a heart attack. 

However some people do not only go on a diet but they avoid eating and hungry for the whole day. All they have is just either water or juices. Also there people who buy special diet programmes over the counter which are not approved by the health department and they are doing so without consulting a doctor first. They do not follow the basic rules of dieting and this will lead them to some serious health problems like of some body parts or, even worse, death. 
In my opinion there is wrong with going on a diet as long as we follow the correct way of eating and . 


","This essay needs some work. It covers the task and has a good structure. The paragraphs are logically connected and many of sentences are structured correctly. However, there are some sentences with poor structure and many grammatical errors (See comments underlined in blue). Overall, this looks like a band 6.5 essay. "
6.5,"Even though globalization affects the world's economy in a very positive way, its negative side should not be forgotten. Discuss. 
","Globalization is a process of advancement and increase in interaction between the worlds' countries and people. It locomotion, communication, knowledge and skills. is gaining over the entire world. It has enough world attention needed from international organization in promoting and encouraging human right and freedom , opportunities, economic, social and culture rights. 
However, there are some countries that are missing out opportunities that are offered and its taken as a big problem to their country. They are the poorer countries that are not connected to the people globally and their people are unskilled due to the lack of knowledge and . They are also unable to trade with the other countries which are richer and larger as they are unable to meet the demand of them. They also will not have the opportunities and the challenges that are . 

Globalization has also crimes like the illegal drug trafficking around the world through the air, sea and land. This has involved human smuggling and stuffing it in anything they come across. This has a lot of problems to the country and the families of the drug addicts. This will also lead to other crimes like robbery and violence in the country. 
Another negative side of globalization is the dumping of the dangerous waste to the , sea or the ocean. This will , the water and cause harm to the people . 
To conclude, globalization has contributed a lot to the world's but the international organization should also not forget the poorer countries and the countries should also tackle its other negative sides that affect the world. 


","This essay doesn't have a paragraph about the positive side of globalization, and it should - so the task is only partially covered. The structure is fine, the paragraphs are logically connected and linking words are used effectively enough. However, there are many spelling and grammatical errors (see comments underlined in blue). Overall, this looks like a Band 6 - 6.5 essay. "
6.5,"Financial education should be a mandatory component of the school program. To what extent do you agree or disagree with this statement? 
","Children in this modern era have all the magnificent toys, food and many more other interesting things than . They are bound to have a craving all this stuff that they see. In other words children will be spending money on anything they want or . Even some adults these days have some kind of craving to the thing 

If financial education starts at the very beginning of the school years, this will help them to understand the value of money. Children should also be taught to manage their expenses and ways to spend wisely. When a child is being taught this in the school program, the child will be able to apply it when they are out to purchase or when they have left the school. They will not be cheated when they are young and this will not only benefit their families but also the whole country where they live when they are older. 
However, there are some children that are capable of in a very way even before they learned it at school. children would have learnt from their families or people around them. They manage money better, compared to the other children from wealthier families for whom spending is not a problem. 
My conclusion is, children regardless of their background should be taught financial education from school at the very beginning then only parents guide them from home as well. 


","This essay needs work. In the first paragraph you should have introduced the problem and mentioned what the two opinions are. Some of your sentences are unclear and their structure needs improvement (see comments underlined in blue for details). Also, there are arguments for financial education and no arguments against, which means that the task is only partially covered. Overall, looks like a Band 6 - 6.5 essay. "
6.5,"The best way to reduce the number of traffic accidents is to raise the age limit for younger drivers and to lower the age limit for aged drivers. Do you agree ? 
","Traffic accidents are on the rise these days. Most of the accidents injuries or death. Research have found that most of the accidents are caused by inexperienced drivers, for example young drivers. 
Young drivers tend to be more daring and are unable to avoid a crush when they face one. They tend to be more daring after drinking alcohol at night and this causes them to lose control of the car. Drunk driving will not only risk a person's own life but may also cause an life to be lost. 

The government should encourage the driving to conduct driving lessons for drivers for a longer period. This will give them a clear picture about how accidents happen and teach them about the safety of others on the road. Drivers that have been in an accident after drunk driving should be from driving for at least two years and be given driving lessons again. 
However, for the aged drivers, the government should not only the age limit but also check the capability of the aged drivers for instance eyesight, hearing and other related health conditions to ensure safe driving. It does not mean that an aged person not fit to drive and has a problem with the heart but a young or a middle aged person could also have heart failure these days. 
To conclude, I feel that to raise the of young drivers not the best solution but to about the problems they may encounter on the road and to ban them from driving if they have caused an accident due to carelessness. As for the drivers, as long as they are capable on the road before a certain age and there are no health issues there shouldn't be a problem. 


","This essay is too long; you have written 305 words instead of the advised 250-265. In the first paragraph you should have presented the topic of argument an two opinions. The main issue here is multiple spelling and grammatical errors, see comments underlined in blue for more details. The task is covered, the paragraphs are coherent and logically connected by linking words. Overall, this looks like a Band 6.5 essay. "
