score,prompt,essay,comment,URL
5.0,"Without capital punishment our lives are less secure and crimes or violence increase. To what extent do you agree or disagree with this opinion? 

","Serious crimes need capital punishment so that the are unable to get involved in the crime in the future. However, they want to stop the acts of violation in the future then it would be better to . Overall, I agree with the fact that punishment is the way to avoid the and hence our lives become more secure. If the wrongdoer wants to be a good and there is a particular financial or personal problem that led him to the wrong way, then it would be the nice option to forgive him and try to solve the problem he . Although by this way, some bad may become effective of the society but some do not bring themselves to the right path because they are . The person that involved in the crime and never to stop the law-breaking act should be punished in extremely serious way. However, it totally depends on the nature of crime. Some to a capital punishment and some may require a small penalty. The law-making institutions are responsible to bring the bad man to the right level of punishment that he deserves. If there is weak legislation to properly handle the offender, it may for the good . The government should be the responsible authority to provide a secure and better state to live. Laws should be implemented and executed in the most proper way that not allow the offender to commit violent acts or to break the law in any way and to any extent. To sum up, it is the responsibility of the state to stop people involved in crime. It may be done through solving the problems of the people that led them to commit that act or by the punishment accordingly. ","Where are the paragraphs? This is a good essay; however there are many small mistakes that might cost you dearly. There are also several unclear expressions and grammatical errors. You should rewrite it, giving more thought to what is required, e.g. paragraphs.",
5.0,"Some people think that they can learn better by themselves than with a teacher. Others think that it is always better to have a teacher. Which do you prefer? Use specific reasons to develop your essay. 
","It is certainly said that learning is an ongoing process .Every person something new their age, experience, knowledge and education. According to my point of view it is always better to have teacher or guide for study. 

One teacher has adequate knowledge to teach their student. knows ways to make subject easier for the students, moreover, he teaches them in an effective manner. For example, some students are weak in some subjects but a teacher them according to their mental capacity. . Some people can learn better in the topics with others. In class people can the views of others, . . 
In the today's competitive world, everybody is busy, some people think that their time classes they can learn better their subject . They can attend online classes by using the Internet at home. They can get relevant information from the Internet regarding their topic. There is specific time or age limit to learn something new. Some new things we can only learn from experience - for example new facts, new habits and so on. 
, I would like to say that it is always better for the people to have a teacher because a teacher has good knowledge, experience and is educated how to teach others. People will learn from a teacher in an easier way rather than on their own. 


","You must be very careful using definitive words such as 'always' and making statements about facts. The essay is for you to provide an opinion and to provide supporting arguments. Also, the other side of the argument about teachers that have limited knowledge or people that learn better on their own is not presented here. ",
5.0,A popular hobby rather than a favorite passtime,"Nowadays people like to change their day by day activities according to the latest trends and also they are following popular things . This essay will explain the reason why the people are spending more time 
popular hobbies rather than their individual activities. 

Hobbies and are different for everyone; this is the human nature, . The current generations are very much in the latest trend which makes them happy and also them to make more money. For example, cricket is the most famous game in , children and playing it whenever they have free time in their daily life. This makes them become a star in this game when they reach a certain age in their life. In addition, this popularity will help them to make lots of money in their life. , there are many . 
Those aiming to spend more time to make money rather than on their own interests. However, some of them are not about the popular hobbies and interests. For instance, drinking alcohol is one of the popular hobbies low income and . 
In conclusion, spending more time popular hobbies and interests really depends on their . It may to become a star in their life or time with many friends. 


","Avoid statements such as 'This essay will explain the reason', your essay should present a point of view including supporting information and examples. The essay needs to be easy to follow, and in addition your English should be accurate and appropriate. 
I suggest that you read several essays that have been awarded high band scores and think about how those writers have structured their essays. ",
5.0,"Universities should allocate the same amount of money to their sport activities as they allocate to their libraries. Do you agree or disagree? 

","Yes, I do feel that universities should have an equal budget for their libraries as well as sport activities. It is our general belief that a good player can not be good student and hence we restrict our children's sport activities at college level. Moreover, an academic degree has much more value than sport activities which naturally compels students to focus more on their studies than their interest in sport. 

Most of the universities keep sports at of their priority list, good players do not get enough facilities and to improve their skills and eventually they their interest.Universities can play substantial role in shaping this upcoming talent by providing good trainers and which is otherwise too expensive to afford. Also it will attract other students sports and inculcate importance of physical fitness in them. 
Universities should produce in all fields rather than only concentrating on progress of scholars. Hence, I feel that universities should allot equal amounts of money to as well as sport activities. 
","Your essay too short, the introduction is good, as is the first paragraph but you must offer more arguments regarding why you agree or disagree. There are many spelling, punctuation and article errors. The essay is easy to follow but has the appearance of the writer running short of time. ",
5.0,"Modern medicine helps to live a longer life. Do you agree? 
","The modern medicine is very important for living a long life. It on new technology. . Also modern medicine is human body. . Therefore I agree that the modern medicine to live longer. 

First of all, the modern medicine can prevent incurable diseases. Doctors can find some diseases very early. Then doctors can give suitable medicines to patients. New modern doctors . Also intelligent people in the world live a long life modern medicine. That is very important in the human society because their creative things are coming with them and they can help others for a longer time when they are living . 
, old population is increasing in the country. It is country's economy and third world countries. But old people are very important in human society because their experience definitely helps to . 'Experience is better than qualifications' However, old people are living a long life; it is helping others to live a long life because we can get advice from them and they are covering our culture and society. 
Moreover, modern medicine is being addictive for some people, so that they cannot live without medicine. They should take medicine all their lives. Also modern medicine is very expensive. Therefore most of poor countries modern medicine and it has taken a commercial shape, also it is depending on money. In the modern medicine human kindness. People who have money can take modern medicine. But indigenous medicine has well human friendly shape. It does not depend on money. 
To summarize; in my personal view, modern medicine is helping to live a long life . Modern technologies are being supported to find diseases very early. So doctors can take immediately. Therefore, hesitate to agree with the above mentioned statement. 


","Your essay has several confusing sentences, where your meaning is unclear. 
You mix advantages and disadvantages of the modern medicine in one paragraph when you should divide them - have advantages in one paragraph and disadvantages in another. 
If you agree with the statement, you should have 2 paragraphs supporting your opinion and one supporting the opposite opinion, in your essay it is 2 against and 1 for. 
The structure of sentences is not very good here and so is your grammar. Try reading more essays of Bands 6 and 7 to see how you can improve your writing. Read more tips in IELTS-blog and “Ace The IELTS” or “Target Band 7” e-books. ",
5.5,"Boys are most influenced by their fathers and girls are most influenced by their mothers. Do you agree or disagree? Use specific reasons to support your opinion. 

","It is true that nowadays have a great influence children. Some people hold the opinion that the same sex is the major determination of influencing parent, but others . As far as I am concerned, . My arguments for this point are listed below. 
First of all, a father is the person who have already passed ways his son is passing now, in other words, sons are following their father's footsteps. , based on experience it is easy for a father to notice his sons' drawbacks and to influence them. 
Secondly, it is true that a boy is , a girl is a subtle and fragile one. It is hard for mothers to influence their sons, because it is not likely that can affect a strong one. 
In conclusion, it seems to me unfair that boys are most influenced by their mothers. Based on at least two points above I strongly agree that children are influenced by a parent of the same gender. 
","This essay is too short, 190 words instead of the minimum requirement of 250. It doesn't say anything about girls being influenced by their mothers, which is also a part of the task - therefore the task is only partially covered. The sentences are not complex enough, there are grammatical mistakes and inaccuracies (see comments underlined in blue). Overall, this looks like a Band 5.5 essay ",
5.5,Some people believe that having a  pet such as a  cat or a dog helps old people to live a more enjoyable life and to stay healthier. How do you think old people benefit from having a pet? Do you think there are any problems related to old people who have pets?,"Pets have become far more familiar within mankind community, and indeed, the importance of relationship between human beings and their pets has been proved to be slightly exaggerated in some nations. However, although problems regarding animals’ hairs may affect the health conditions of old people, the benefits that these lovely animals bring to them, physically and mentally alike, are clearly undeniable.
In term of physical benefits, the well-being conditions of elderly people with pets are more favourable compared to those without pets, since not only do they have to take care of themselves, __ the responsibility that ensure their love one being fed and well looked after encourages them to become even more active. Due to these extra activities, this though might not have an obvious influence on their health, but at least this could help them to avoid bad living styles. Coupled with physical side, their mental wellbeing will also be improved, and the reason is that having someone to take care of would reduce the chance of feeling loneliness. Therefore, their depressing rate could be minimised.
In spite of the above advantages, the threats of too close interaction between pets and vulnerable old people still exist. One of the major concerns is the harmfulness of these animal hairs on their tracheas, especially those with asthma. Because of the virtually invisible in the air, many asthma symptoms are caused unconsciously by pets. In addition to the fact that old people might experience difficulty in looking after their pets, as their health conditions are limited, which could become even more challenge when they try t take care of others.
In conclusion, it is true that obstacles still exist for elderly people in adopting pets, but the benefits of this topic outnumber its shortages. For such reasons, instead of discontinuing them, further support would be far more beneficial.","You have made an attempt to accomplish the task response. However, there are quite a few mistakes in the essay – the main problematic areas are grammar, sentence structure and word choice. In addition, the length of the task response could be reduced. This task response needs to be worked on and improved. Revise grammar and work on your sentence structure. Avoid writing more than 280 words to save time and reduce the number of mistakes, and remember to always proofread your work once you’re finished. Overall, this looks like a Band 5.5 essay",
5.5,"There is no longer enough natural resources to sustain current levels of economic growth. To what extent do you agree or disagree with this statement? 
","Recently, the natural resources risen dramatically across the world due to population growth. Some people state that we enough resources. However, there are some individuals who disagree with this opinion. In this essay, the issues behind this phenomenon will be examined. 
On the one hand, some people state that if will continue to we cannot have a comfortable life because natural resources are limited. According to a if this situation will continue, the petrol will in 2050. Moreover, it is widely said that the will increase. This will make the amount of natural . 

On the other hand, there are some individuals who disagree with above-mentioned perception. The natural resources will technology. For example, the of technology such as cars a positive impact the society. By using this, we can the consumption of natural resources. Eventually, we will not need natural fuel. In my opinion, of natural is , I think the loss of it a negative impact the society because won't have a comfortable life any more. 
In conclusion, I agree with the idea that there is no longer enough natural resources to sustain this situation. In order to our life, the governments countries should tackle this issue. 

","This essay needs work, in particular in the areas of grammar, sentence structure and word choice (mouse over the words in blue will show suggested corrections). The arguments could have been more convincing. The word count is only 245, whereas at least 250 words are required to avoid being penalised. Overall, this looks like a Band 5.5 essay. 

",
6.0,"Even though Globalization affects the world's economics in a very positive way, its negative sides should not be forgotten. Discuss. 
","Everything has sides in the world, and so has the of globalization . The effects of globalization on the world economy are . 
We must acknowledge that the negative effects are from a different kind than the positive ones. the negative sides, like low in less developed countries are important to . 
If we take the Eurozone for example, the economic changes the process are huge. Many companies have transferred their factories into cheaper production to in the world . The results are rising unemployment rates in the “old industrial countries”. 

In regard to the other countries on the world market, such as China, this job transfer is a big opportunity. But no one can that the consequences for the less developed countries where economy flourished, based on availability of cheap employees are highly important: globalization based on this facts brings problems. 
Nevertheless, there are also . In general it is remarkable that there is a new tendency in “Thinking Global”. For instance, people are willing to more languages and get educated about cultures. Countries as undeveloped, such as India, are getting chances to be the in a certain field. 
All in all it can be said that the effects of globalization are enormous. The of economic processes has changed completely. It is important to think in bigger terms, not just about the country. The positive things that this globalization process have brought us for the negative sides. The should be a world in balance, but this has yet to come. 


","This essay needs work. There are multiple spelling errors and unclear expressions (see comments underlined in blue). Also there are many words that are formed incorrectly (diverted instead of diverse, etc). There are too many paragraphs, all you need is 4 - 5 well-structured paragraphs, not 7 poorly structured ones. On the bright side, the task is covered and there are enough words (275), which is good. The paragraphs are logically connected and the linking words are used effectively. Overall, this looks like a Band 6 essay. ",
6.5,"Some people think that it is important to use leisure time for activities that develop the mind, such as reading and doing crossword puzzles. Others feel that it is important to give one's mind a rest in leisure time. Discuss. 

","As we are human we naturally need to rest leisure time to stress of work and everyday life. In fact, every individual need to do what they want and . Personally, I prefer to be active during this time because . Moreover, people are free what they do their leisure time, and nobody can say what is the best. 

Some people want to relax after their day of work. These people may prefer to relax by watching movies, reading or getting a massage. People who have a such as doctors, teachers and builders may choose these types of activities. If you are a doctor, you may feel that you want to let your body rest after work and you don't want to do a five kilometer run after work, because you are already physically tired. 
On the other hand, some people choose to be active in their leisure time because they do . For example, these people many spend all day sitting on a chair and their work. At the end of a working day, they a backache, and all of their body tired so they need to stretch their arms and improve their health by doing some activity such as going to the gym or swimming. 
To sum up, the important thing is that people want to stay healthy by choosing what is best for them. In my view, the wrong way is to stay at home in your leisure time if you have a job. 
","This essay needs work. It has the right structure and covers the task. However there are many poorly structured sentences, many of the sentences are too simple and don't have enough complexity, there are grammatical errors and some prepositions are use incorrectly (see comments underlined in blue). Overall, this looks like a Band 6 - 6.5 essay. ",
